"Top Sliders","Топ Sliders"
"app_text_msg_request","Запрос не может быть процессом. Это может быть из-за низкой скорости подключения к Интернету."
"app_text_msg_order_placed_email","Ваш заказ был успешно размещен. Вы получите по электронной почте в отношении того же."
"app_text_msg_product_look","Вы можете посмотреть на продукт (ы) с помощью своей категории."
"app_text_msg_search_product","Вы можете найти любой товар в магазине с помощью текста или голоса!"
"app_text_msg_view_cart","Вы можете просмотреть корзину с количеством!"
"app_text_msg_logout","Вы выход из системы успешно!"
"app_text_msg_view_product","Вы можете посмотреть продукт в списке или в режиме сетки!"
"app_text_msg_sort_product","Вы можете сортировать товар по цене!"
"app_text_msg_filter_product","Вы можете выбирать продукт (ы) в соответствии с вашими потребностями!"
"app_text_text_next","следующий"
"app_text_text_okay","Хорошо"
"app_text_required","необходимые"
"app_text_msg_rating","Выберите рейтинг"
"app_text_msg_add_cart","Вы можете добавить товар в корзину, просто нажав на кнопку \ «Добавить в корзину \»!"
"app_text_msg_add_wishlist","Вы можете добавить товар в список желаний, просто нажав на кнопку \ «Добавить в лист пожеланий \»!"
"app_text_msg_product_price","Цена продукта был обновлен!"
"app_text_msg_product_not_available","Этот продукт не доступен для заказа!"
"app_text_msg_combination","Эта комбинация не существует для этого продукта. Пожалуйста, выберите другую комбинацию."
"app_text_msg_product_no_stock","Этот продукт не доступен в необходимом количестве или нет в наличии!"
"app_text_msg_out_stock","Некоторые из этих продуктов в корзине не доступны в нужном количестве или нет на складе. Пожалуйста, удалите такой продукт (ы) из корзины!"
"app_text_msg_checkout_products","Вы можете оформить товары в корзине, просто нажав на кнопку \ «Продолжить Checkout \»."
"app_text_msg_apply_voucher","Вы можете использовать ваучер в корзину!"
"app_text_msg_update_quantity","Вы можете обновить количество продукта или удалить его из корзины!"
"app_text_msg_view_details","Вы можете просмотреть сведения о продукте, нажав на изображение продукта!"
"app_text_msg_success","Успех!"
"app_text_msg_failure","Провал!"
"app_text_msg_enter_quantity","Пожалуйста, введите количество"
"app_text_quantity","Количество"
"app_text_remove","удалять"
"app_text_customization_details","подробности по настройке"
"app_text_msg_add_address","Вы можете добавить новый адрес доставки, нажав на кнопку!"
"app_text_msg_update_address","Вы можете обновить адрес доставки!"
"app_text_msg_select_address","Вы можете выбрать любой адрес доставки, просто нажав на него!"
"app_text_select_address_text","* Пожалуйста, выберите адрес доставки, чтобы просмотреть свой заказ."
"app_text_msg_no_product","Нет товаров в продаже!"
"app_text_msg_no_comment_available","Нет комментариев (ы) доступны!"
"app_text_msg_reset_password","Вы можете восстановить свой пароль, нажав `Забудь Password`"
"app_text_msg_login","Вы можете войти в магазин отсюда!"
"app_text_msg_login_fb","Вы также можете войти в магазин с вашего счета Facebook!"
"app_text_msg_login_google","Вы также можете войти в магазин из своего аккаунта Google!"
"app_text_msg_update_profile","«Вы можете обновить свои данные в профиле"
"app_text_product_info_and_care","Информация о продукте и уход"
"app_text_download","Скачать"
"app_text_minimal_quantity","Минимальное количество"
"app_text_seller_details","Информация о продавце"
"app_text_pack_content","Упаковка Содержание"
"app_text_submit","Разместить"
"app_text_msg_forget_password","Введите адрес электронной почты, связанный с вашей учетной записью. Нажмите, чтобы отправить ваш пароль по электронной почте."
"app_text_enter_your_email","Введите адрес электронной почты"
"app_text_reset_password","Сброс пароля"
"app_text_view_selected_filter","Вы можете просмотреть выбранный результат фильтрации, нажав на это изображение!"
"app_text_clear_selected_filter","Вы можете очистить прикладной фильтр, нажав на этом изображении!"
"app_text_no_filter","Нет фильтров"
"app_text_phone_number_required","* Вы должны зарегистрировать хотя бы один номер телефона"
"app_text_refresh","обновление"
"app_text_internet_connection_failed","Подключение к Интернету Ошибка!"
"app_text_internet_connection_problem","Там могут быть некоторые проблемы с подключением к Интернету. Пожалуйста, проверьте."
"app_text_cancel_transaction","Отмена сделки"
"app_text_middle_of_payment","Вы находитесь в середине вашего процесса сделки оплаты. Вы действительно хотите отменить сделку?"
"app_text_yes","да"
"app_text_no","нет"
"app_text_enter_your_comment","Введите свой комментарий"
"app_text_msg_shipping_methods_unavailable","«Для некоторого продукта (ы)"
"app_text_msg_select_shipping_methods","Пожалуйста, выберите способ доставки"
"app_text_share_log","Доля Войти"
"app_text_error_minimum_value","Введите значение, превышающее 0"
"app_text_payment_failed_contact_support","Ваш заказ не может быть обработан. Поддержка Пожалуйста контакт для любых запросов"
"app_text_currency","Валюта (ы)"
"app_text_choose_payment_method","Выберите способ оплаты"
"app_text_no_payment_method","Нет Способ оплаты (ы) не найдено!"
"app_text_no_payment_currently","Там нет способа оплаты в настоящее время."
"app_text_no_make_payment","Вы выиграли \ 'т иметь возможность произвести оплату как это мобильное приложение является установка для демонстрационной цели."
"app_text_make_payment_after_select","Вы можете произвести оплату после выбора способа оплаты!"
"app_text_title_paypal_payment","PayPal оплаты"
"app_text_order_total_price","Общая сумма заказа Цена"
"app_text_user_cancelled_the_payment","Пользователь отменил платеж"
"app_text_invalid_payment_try_again","Invalid платеж. Пожалуйста, попробуйте еще раз"
"app_text_text_skip","Пропускать"
"app_text_wishlist_item_removed","Элемент удален из списка желаний."
"app_text_wishlist_item_added","Пункт добавлен в лист пожеланий"
"app_text_subject","Эй Проверьте это!"
"app_text_text_extra_share","Доступно здесь :"
"app_text_share_intent_title","Поделиться"
"app_text_error_product_name_url","Название продукта или URL может быть пустым."
"app_text_tag_error","ошибка"
"app_text_demo_app_user_form","Пожалуйста, заполните детали!"
"app_text_full_name_demo_app_user","Ваше имя*"
"app_text_email_demo_app_user","Эл. адрес*"
"app_text_store_url_demo_app_user","Магазин Url *"
"app_text_continue_demo_app_user_form","Продолжить"
"app_text_invalid_url","Неверный URL-магазин!"
"app_text_invalid_email","Неверный адрес электронной почты!"
"app_text_sellers","Продавцы"
"app_text_seller","продавец"
"app_text_seller_shipping_policy","Доставка"
"app_text_seller_return_policy","Политика возврата"
"app_text_review_title","Заглавие *"
"app_text_review_comment","Комментарий *"
"app_text_review_rating","Рейтинг *"
"app_text_filter_products","Фильтр Продукт (ы)"
"app_text_select_category","выберите категорию"
"app_text_select_sort","Выберите Сортировка"
"app_text_clear","Очистить"
"app_text_edit","редактировать"
"app_text_cart","телега"
"app_text_move_to_cart","Переместить в корзину"
"app_text_no_shipping_method_available","Нет Способ доставки В наличии"
"app_text_module_not_installed","Пожалуйста, обратитесь к администратору сайта, чтобы просмотреть данные на этой странице."
"app_text_no_data_found","Данные не найдены!"
"app_text_enter_coupon_code","Введите код купона"
"app_text_apply_coupon","Применить купон"
"app_text_add_more_in_cart","Добавить еще в корзину, чтобы разместить заказ"
"app_text_shipping_details","Отгрузочные реквизиты"
"app_text_choose_app_theme","Выбор приложения Theme"
"app_text_enter_store_url","Введите свой магазин URL"
"app_text_sample_store_url","Пример: http://your_store.com/"
"app_text_downloads","Загрузки"
"app_text_done","Готово"
"app_text_posted_on","Опубликовано:"
"app_text_commented_by","Ответил:"
"app_text_seller_comment","Комментарий:"
"app_text_open","открыто"
"app_text_order_status","открыто"
"app_text_special_products","Специальные продукты"
"app_text_product_information","информация о продукте"
"app_text_featured_products","Тематические продукты"
"app_text_requested_gift_order","Вы запросили подарочную упаковку для этого заказа"
"app_text_step_one_of_three","шаг 1/3"
"app_text_review_checkout","Обзор Checkout"
"app_text_your_wishlist_is_empty","Ваш список желаний пуст!"
"app_text_no_shipping_method","Нет Способ доставки В наличии"
"app_text_no_order_found","Нет заказ не найден!"
"app_text_percent_off","% от"
"app_text_coupon_length_validation","Купон код символов должно быть больше или равно 4."
"app_text_coupon_code_removed","Купон скидка была успешно удалена!"
"app_text_facebook_login_cancelled","Facebook Войти был отменен."
"app_text_facebook_login_failure","Facebook Войти Failure:"
"app_text_login_failed","Ошибка входа!"
"app_text_wrong_url_install_mab","Возможно, вы ввели неверный адрес или вы не установите наш мобильный модуль строитель App."
"app_text_install_module","Установка модуля"
"app_text_text_loading","загрузка"
"app_text_text_exception","Исключение:"
"app_text_msg_reset_password_click","Вы можете восстановить свой пароль, нажав \ «Forget Пароль \»!"
"app_text_login_from_here","Вы можете войти в магазин отсюда!"
"app_text_login_from_facebook_account","Вы также можете войти в магазин с вашего счета Facebook!"
"app_text_login_from_google_account","Вы также можете войти в магазин из своего аккаунта Google!"
"app_text_text_warning","Предупреждение!"
"app_text_update_address_if_exists","Вы можете обновить адрес доставки или выбрать любой другой адрес, если существует!"
"app_text_continue_to_checkout_click_msg","Вы можете оформить товары в корзине, просто нажав на кнопку \ «Продолжить Checkout \»!"
"app_text_please_enter_store_url","Пожалуйста, введите URL-адрес магазина"
"app_text_product_not_desired_quantity","Некоторые из этих продуктов в корзине не доступны в нужном количестве или нет на складе. Пожалуйста, удалите такой продукт (ы) из корзины!"
"app_text_select_shipping_methods","Выберите метод доставки (s)"
"app_text_send_email","Отправить по электронной почте ..."
"app_text_error_in_google_sign_in","Некоторые ошибки в Google login.Please повторите попытку."
"app_text_process_payment_problem","При обработке платежа произошла какая-то ошибка. Пожалуйста, попробуйте еще раз."
"app_text_text_state","состояние"
"app_text_update_address","Обновление Адрес"
"app_text_unit_price","Цена за единицу товара"
"app_text_total_price","Итоговая цена"
"app_text_text_totals","общие данные"
"app_text_text_success","Успех!"
"app_text_sale","распродажа"
"app_text_new","новый"
"app_text_share_api_log","Доля журнала API"
"app_text_report_via_email","отчет"
"app_text_view_your_store","Просмотр вашего магазина"
"app_text_view_demo","Демо"
"app_text_search","Поиск"
"app_text_wishlist","добавить в корзину"
"app_text_select_language","Выбрать язык"
"app_text_select_font","Выбор шрифта"
"app_text_share_feedback","Доля обратной связи запрос / заказ изменение"
"app_text_enter_state","Введите состояние"
"app_text_choose_your_app_theme","Выбор приложения Theme"
"app_text_terms_and_conditions","Правила и условия пользования"
"app_text_wishlist_only","добавить в корзину"
"app_text_wishlist_remove","Удалить из списка пожеланий"
"app_text_state_not_required","Государство не требуется для выбранной страны"
"app_text_currencies","Валюта (ы)"
"app_text_payment_failed","При обработке платежа произошла какая-то ошибка. Пожалуйста, попробуйте еще раз"
"app_text_entered_wrong_url","Возможно, вы ввели неверный адрес или вы не установили наш мобильный приложение строитель bodule."
"app_text_fill_all_required_fields","Пожалуйста, заполните все необходимые поля."
"app_text_extra_share","Доступно здесь :"
"app_text_intent_title","Поделиться"
"app_text_ok","Хорошо"
"app_text_explore_the_app","Исследуйте App"
"app_text_hour","Час"
"app_text_min","минут"
"app_text_sec","секунд"
"app_text_install_whatsapp","Whatsapp не установлена ​​на устройстве"
"app_text_no_account_registered","Никакая учетная запись не зарегистрирована для биометрической аутентификации в данном устройстве. Пожалуйста, зарегистрируйтесь первым."
"app_text_confirm_for_authentication","Подтвердите свой отпечаток пальца или лицо для проверки подлинности."
"app_text_login_with_fingerprint","Вход с Fingerprint"
"app_text_register_for_fingerprint","Регистрация для отпечатков пальцев Вход"
"app_text_biometric_not_available","Биометрическая аутентификация недоступна для данного устройства."
"app_text_fingerprint_not_recognized","Сенсорный ID не распознает отпечатки пальцев. Пожалуйста, попробуйте еще раз с зарегистрированным отпечатком."
"app_text_face_not_recognizes","Лицо ID не распознает лицо. Пожалуйста, попробуйте еще раз с зарегистрированным лицом."
"app_text_fingerprint_or_face_not_enrolled","Нет отпечатки пальцев / лицо не зарегистрировано в устройстве."
"app_text_biometry_locked_out","Функциональность теперь заблокирован из-за слишком большого числа неудачных попыток."
"app_text_register_for_fingerpring","Регистрация для отпечатков пальцев"
"app_text_register_for_fingerprint_details","Вы хотите зарегистрировать учетную запись для функциональных отпечатков пальцев. После этого вы можете войти на этот счет без использования Id электронной почты или пароля только с помощью проверки отпечатков пальцев."
"app_text_register","регистр"
"app_text_verify","проверить"
"app_text_get_otp","Get OTP"
"app_text_mobile_number","Номер мобильного"
"app_text_mobile_number_optional","Мобильный телефон (необязательно)"
"app_text_error_number_verification","Мобильный телефон не может быть проверен! Пожалуйста, попробуйте еще раз с правильным номером OTP!"
"app_text_phone_number_already_exists","Номер телефона уже зарегистрирован. Пожалуйста, попробуйте еще раз с другим номером телефона!"
"app_text_number_verification","Проверочный номер"
"app_text_number_verification_description","Вы должны подтвердить номер телефона. Пожалуйста, введите номер телефона и нажмите кнопку"
"app_text_login_with_phone_number","Войти с номером телефона"
"app_text_forget_password_description","Введите адрес электронной почты или номер телефона, связанный с вашей учетной записью."
"app_text_enter_email_or_mobile_number","Введите адрес электронной почты или номер мобильного телефона"
"app_text_phone_number_change_message","Один номер телефона уже зарегистрирован с этой учетной записью. Вы можете изменить только номер контакта. Пожалуйста, введите действующий номер телефона."
"app_text_enter_otp","Введите одноразовый пароль"
"app_text_related_products","сопутствующие товары"
"app_text_view_reviews","Посмотреть рецензии"
"app_text_write_reviews","Написать отзыв"
"app_text_please_fill_all_details","Заполните, пожалуйста, все детали"
"app_text_close","Закрыть"
"app_text_add_review","Добавить отзыв"
"app_text_write_a_review","Написать рецензию"
"app_text_nick","Ник"
"app_text_title","заглавие"
"app_text_no_reviews","Нет Отзывы о продукте"
"app_text_number_of_reviews","Количество отзывов"
"app_text_minimum_rating","Пожалуйста, добавьте минимальный рейтинг"
"app_text_error","ошибка"
"app_text_no_reviews","Нет отзывов"
